Site_Code,Country,City,Latitude,Longitude,Elevation_meters,Start_Year_local,Start_Month_local,Start_Day_local,Start_hour_local,End_Year_local,End_Month_local,End_Day_local,End_hour_local,Hours_sampled,Parameter_Code,Parameter_Name,Value,Units,Method_Code,Collection_Description,Analysis_Description,Conditions
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28101,Filter PM2.5 mass,4,Micrograms per cubic meter,112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric with equilibration to set temperature (20-25 degC) and humidity (30 - 40 %RH),Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28802,Ammonium PM2.5,0.1,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28801,Sodium PM2.5,0.09,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28803,Potassium PM2.5,0.08,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28804,Magnesium PM2.5,0.01,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28805,Calcium PM2.5,0.24,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28901,Lithium PM2.5,0,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28804,Magnesium PM2.5,0.0088,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28902,Aluminum PM2.5,0.0021,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28903,Phosphorus PM2.5,0.0656,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28904,Titanium PM2.5,0.0002,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28905,Vanadium PM2.5,0,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28906,Chromium PM2.5,-0.0003,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28907,Manganese PM2.5,0.0002,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28908,Iron PM2.5,0.0065,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28909,Cobalt PM2.5,-0,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28910,Nickel PM2.5,0.0034,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28911,Copper PM2.5,0.0005,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28912,Zinc PM2.5,0.0094,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28913,Arsenic PM2.5,0,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28914,Selenium PM2.5,0,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28915,Gold PM2.5,-0.0004,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28916,Cadmium PM2.5,0,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28917,Antimony PM2.5,0,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28918,Barium PM2.5,-0.0007,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28919,Cerium PM2.5,0,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2015,10,27,8,2015,11,5,10,24,28920,Lead PM2.5,0.0001,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28101,Filter PM2.5 mass,22.87,Micrograms per cubic meter,112,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Gravimetric with equilibration to set temperature (20-25 degC) and humidity (30 - 40 %RH),Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28401,Sulfate PM2.5,7.55,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28802,Ammonium PM2.5,2.49,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28801,Sodium PM2.5,0.18,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28405,Bromide PM2.5,0,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28803,Potassium PM2.5,0.36,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28804,Magnesium PM2.5,0.02,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28805,Calcium PM2.5,0.27,Micrograms per cubic meter,312,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,Ion Chromatography,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28901,Lithium PM2.5,0,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28804,Magnesium PM2.5,0.0104,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28902,Aluminum PM2.5,0.0596,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28903,Phosphorus PM2.5,-0.114,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28904,Titanium PM2.5,0.0028,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28905,Vanadium PM2.5,0.0006,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
ZAPR,South Africa,Pretoria,-25.7566,28.2797,1449,2016,5,20,8,2016,5,29,10,24,28906,Chromium PM2.5,0.0011,Micrograms per cubic meter,412,AirPhoton SS4i Cascade Impaction Sampler and 25mm mesh Teflon filter,ICP-MS,Ambient local
